metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# proteins	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase (EC 5.1.1.1)	14	-3.69	66.95	29.92	12	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase (EC 5.1.1.1)	7	-5.14	67.78	33.14	6	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase (EC 5.1.1.1)	10	-4.60	68.88	31.20	9	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase (EC 5.1.1.1)	47	-5.42	78.75	29.68	13	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase, biosynthetic (EC 5.1.1.1)	1	-4.00	74.07	27.00	1	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase, catabolic (EC 5.1.1.1)	1	-3.00	73.33	30.00	1	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase, catabolic (EC 5.1.1.1)	1	-3.00	71.43	28.00	1	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase, catabolic (EC 5.1.1.1)	3	-4.33	73.24	28.67	3	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	46	-5.76	78.05	29.95	32	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	22	-6.27	77.17	31.00	19	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	33	-5.58	75.98	30.10	23	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	97	-6.70	79.47	31.20	40	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Chaperone protein HscA	1	-7.00	86.67	30.00	1	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Chaperone protein HscA	1	-3.00	68.97	29.00	1	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Chaperone protein HscA	4	-8.75	90.35	33.00	2	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Chaperone protein HscA	71	-6.47	85.32	30.58	14	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	69	-4.97	74.03	30.06	62	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	48	-4.77	72.34	30.40	42	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	69	-5.03	74.61	30.25	58	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	144	-5.61	77.23	30.37	76	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	2	-3.00	77.41	25.50	2	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1	-4.00	55.88	34.00	1	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	3	-4.67	77.82	30.33	3	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	61	-6.51	82.86	30.03	20	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	5	-5.20	73.96	31.60	5	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	4	-3.25	66.80	30.50	4	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	2	-3.50	70.37	28.50	2	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	2	-4.50	74.65	31.50	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	21	-5.33	77.09	28.90	19	
