	AM-AD-1	AM-AD-2	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-1T	DA-AD-2	DA-AD-3	DA-AD-3T	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9	JP-IN-1	JP-IN-2	JP-IN-3	JP-IN-4
Unclassified	0.42650351	0.33226194	0.48195467	0.38858308	0.53360402	0.62499134	0.634708	0.77980981	0.80526766	0.76409898	0.25166833	0.42712689	0.39126977	0.54793011	0.55142206	0.58294733	0.43972306	0.51493838	0.53477659	0.52810766	0.47944266	0.4619468	0.42361617	0.4887351	0.44199058	0.3581634	0.62080827	0.55810012	0.29351697	0.52700195	0.53048339	0.38604492	0.58345103	0.32948505	0.19526355	0.36281206	0.38732586	0.57703516	0.07864845	0.10810843	0.46189138
Bacteria	0	0	0	0	0	0	0.00001328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prosthecochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003015	0	0	0	0	0	0	0	0	0	0
Chloroflexus	0	0	0	0	0	0.00000081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dehalococcoides	0	0.00026835	0.00000959	0	0	0	0.0000203	0	0	0.00008728	0.00004637	0	0	0.00006032	0	0	0.00004266	0.00005681	0.00003315	0.00003614	0	0.00003769	0.00113611	0	0.00003959	0	0	0.00011117	0	0	0.00011227	0	0	0	0	0	0	0	0	0	0
Thermus	0	0	0	0.00000424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria	0	0	0	0	0	0	0	0	0.00000243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003534	0	0
Fusobacterium	0	0.00001508	0	0	0	0.00003181	0.00000852	0	0.0000058	0	0	0	0	0.00002181	0	0	0.00003662	0.00004468	0	0.00001551	0	0	0	0	0	0.00004409	0	0	0	0.00004689	0	0.00005281	0.00005002	0.00011665	0.00623069	0.00002512	0	0	0	0.00005202	0
Streptobacillus	0	0	0	0.00000471	0	0	0	0.00005138	0.00005987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000035	0	0	0	0.00002841	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacillus	0	0	0	0	0	0.00000067	0.00000237	0	0.00000246	0	0	0	0	0	0	0	0	0.00000884	0	0	0	0	0	0.00000956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Acidobacteria	0	0	0	0	0	0	0	0	0.00000161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus	0	0	0.00000392	0	0.00000552	0.00000499	0	0.00000559	0.00000185	0.00000397	0	0	0	0.00000207	0.00001469	0.00001593	0.0000088	0.00004508	0	0	0.00000772	0	0	0	0	0	0	0.00001068	0	0	0	0	0.00001192	0	0	0	0	0	0	0	0
