Genera	AM-AD-1-RITA	AM-AD-1-SMASH	AM-AD-2-RITA	AM-AD-2-SMASH	AM-F10-T1-RITA	AM-F10-T1-SMASH	AM-F10-T2-RITA	AM-F10-T2-SMASH	DA-AD-1-RITA	DA-AD-1-SMASH	DA-AD-1T-RITA	DA-AD-1T-SMASH	DA-AD-2-RITA	DA-AD-2-SMASH	DA-AD-3-RITA	DA-AD-3-SMASH	DA-AD-3T-RITA	DA-AD-3T-SMASH	DA-AD-4-RITA	DA-AD-4-SMASH	ES-AD-1-RITA	ES-AD-1-SMASH	ES-AD-2-RITA	ES-AD-2-SMASH	ES-AD-3-RITA	ES-AD-3-SMASH	ES-AD-4-RITA	ES-AD-4-SMASH	FR-AD-1-RITA	FR-AD-1-SMASH	FR-AD-2-RITA	FR-AD-2-SMASH	FR-AD-3-RITA	FR-AD-3-SMASH	FR-AD-4-RITA	FR-AD-4-SMASH	FR-AD-5-RITA	FR-AD-5-SMASH	FR-AD-6-RITA	FR-AD-6-SMASH	FR-AD-7-RITA	FR-AD-7-SMASH	FR-AD-8-RITA	FR-AD-8-SMASH	IT-AD-1-RITA	IT-AD-1-SMASH	IT-AD-2-RITA	IT-AD-2-SMASH	IT-AD-3-RITA	IT-AD-3-SMASH	IT-AD-4-RITA	IT-AD-4-SMASH	IT-AD-5-RITA	IT-AD-5-SMASH	IT-AD-6-RITA	IT-AD-6-SMASH	JP-AD-1-RITA	JP-AD-1-SMASH	JP-AD-2-RITA	JP-AD-2-SMASH	JP-AD-3-RITA	JP-AD-3-SMASH	JP-AD-4-RITA	JP-AD-4-SMASH	JP-AD-5-RITA	JP-AD-5-SMASH	JP-AD-6-RITA	JP-AD-6-SMASH	JP-AD-7-RITA	JP-AD-7-SMASH	JP-AD-8-RITA	JP-AD-8-SMASH	JP-AD-9-RITA	JP-AD-9-SMASH	JP-IN-1-RITA	JP-IN-1-SMASH	JP-IN-2-RITA	JP-IN-2-SMASH	JP-IN-3-RITA	JP-IN-3-SMASH	JP-IN-4-RITA	JP-IN-4-SMASH
Unclassified	0.385384019	0.42650351	0.399962356	0.33226194	0.565994348	0.48195467	0.500005742	0.38858308	0.399013597	0.53360402	0.56220245	0.62499134	0.517682883	0.634708	0.605023128	0.77980981	0.714234262	0.80526766	0.574368531	0.76409898	0.171189494	0.25166833	0.30735686	0.42712689	0.314797142	0.39126977	0.438421222	0.54793011	0.400924713	0.55142206	0.48556294	0.58294733	0.349911497	0.43972306	0.480868726	0.51493838	0.456502968	0.53477659	0.411989764	0.52810766	0.398194224	0.47944266	0.440950198	0.4619468	0.40288426	0.42361617	0.398117794	0.4887351	0.374429145	0.44199058	0.236188472	0.3581634	0.573758559	0.62080827	0.407859698	0.55810012	0.223286775	0.29351697	0.516924842	0.52700195	0.323224833	0.53048339	0.312402084	0.38604492	0.499811496	0.58345103	0.268405218	0.32948505	0.211925326	0.19526355	0.260283083	0.36281206	0.299420968	0.38732586	0.501323598	0.57703516	0.088853272	0.07864845	0.127803735	0.10810843	0.391461242	0.46189138
Other	0.055966902	0.0017314	0.025276178	0.01334903	0.007183964	0.00261628	0.008049974	0.00173511	0.049964176	0.00064266	0.054557462	0.00043564	0.016658401	0.00161361	0.02495088	0.00096993	0.017134774	0.00089682	0.033780024	0.00095905	0.015207255	0.00142069	0.021673583	0.00091355	0.016016492	0.00146737	0.022622511	0.0021739	0.014899701	0.00306112	0.036569585	0.00099891	0.014462953	0.0021168	0.070644153	0.00243379	0.048138802	0.00124524	0.043166658	0.00207092	0.020869366	0.00298009	0.018441766	0.0023254	0.027785461	0.00180893	0.011695984	0.00344071	0.02056397	0.00125344	0.015486527	0.00114765	0.021304065	0.00239252	0.026983429	0.00215986	0.025998378	0.00077157	0.022973889	0.0015045	0.039662692	0.00077793	0.030430333	0.00085708	0.020093826	0.00278547	0.019202652	0.00099228	0.015960088	0.00080162	0.016289281	0.00138433	0.024468013	0.00233299	0.003150494	0.00114374	0.002116901	0.00109138	0.009683913	0.00099452	0.00774476	0.00518204
Bacteroides	0.007432118	0.0001494	0.008805894	0.0000705	0.082945715	0.05774625	0.082735986	0.05419578	0.135697784	0.05414964	0.088088113	0.04177826	0.225073901	0.1470976	0.085672089	0.02028051	0.127599684	0.05744886	0.060331471	0.0161095	0.664804195	0.54668312	0.158777743	0.09286852	0.265218566	0.17824694	0.21939997	0.12396549	0.208132367	0.09637892	0.2099896	0.11868019	0.423373484	0.33198288	0.161559448	0.10582637	0.096684912	0.04453432	0.081046613	0.03612382	0.203662853	0.09317979	0.197288702	0.15183519	0.264427752	0.17290091	0.048542934	0.01797328	0.23870929	0.15709261	0.0836606	0.03165512	0.123098799	0.0658165	0.091093205	0.03124568	0.432631754	0.34584542	0.068547482	0.03955521	0.095337439	0.05961692	0.328489002	0.24341582	0.176829115	0.10420532	0.487940537	0.3764159	0.473821147	0.39640911	0.443734786	0.34306012	0.278304792	0.21288424	0.001731341	0.00150148	0.000187824	0.00000733	0.000730451	0.00001148	0.00667701	0.00490534
Prevotella	0.001241272	0.00021861	0.000255438	0.00002488	0.000715604	0.00053382	0.000861283	0.00066867	0.274833671	0.24449648	0.188861262	0.16858615	0.00505734	0.00193614	0.024747501	0.00161688	0.014041063	0.00207882	0.13845827	0.0604656	0.004599561	0.00832809	0.363828407	0.33699481	0.232518073	0.23320513	0.00555454	0.00394533	0.024131983	0.0019181	0.010135909	0.00194143	0.005189311	0.00277611	0.00400925	0.00190286	0.096553851	0.07170562	0.167954663	0.09224028	0.004163888	0.00170561	0.006325178	0.00115125	0.002340449	0.003607	0.011262099	0.00155363	0.002441929	0.00183685	0.43686953	0.35450804	0.016555367	0.00653855	0.162821562	0.08196811	0.002398451	0.00179125	0.007358627	0.00249746	0.123539022	0.01896022	0.011259569	0.00282521	0.00147033	0.00116983	0.002920059	0.0023236	0.012552975	0.00473931	0.005809722	0.00244243	0.002168289	0.00105555	0.000100368	0.0000696	0.000613558	0	5.04E-05	0	0.000896397	0.00042869
Ruminococcus	0.020977502	0.01847423	0.068672528	0.06125294	0.036576198	0.04024466	0.048783065	0.00909014	0.00799559	0.00649973	0.008079633	0.01033409	0.008160303	0.00176278	0.005084628	0.00271001	0.005437633	0.01454849	0.007215518	0.01372323	0.007294931	0.00054458	0.005688791	0.00355777	0.007398149	0.00635559	0.014961562	0.00961088	0.015643466	0.02153144	0.009545382	0.01391232	0.021327117	0.00427214	0.023523149	0.00883805	0.016213091	0.00468216	0.011781995	0.0020204	0.046717625	0.04261553	0.048895759	0.05352079	0.010428767	0.06710775	0.005907845	0.0101686	0.013846167	0.01775003	0.008650119	0.00308346	0.015370422	0.04170391	0.010557159	0.00483945	0.010594226	0.00120289	0.01142458	0.01373417	0.006459721	0.00137493	0.007094547	0.00821235	0.012001407	0.01876608	0.017267533	0.00666102	0.010179175	0.00032425	0.011406128	0.00520158	0.011740791	0.00052699	0.000313649	0.00004439	0.000250432	0	0.039935519	0.00026273	0.022088146	0.00102069
Acholeplasma	4.65E-05	0	1.34E-05	0	4.02E-05	0.00009363	6.89E-06	0	5.05E-05	0	4.82E-05	0.0000099	0.000106845	0.00004957	9.10E-05	0	0.000140374	0.00003534	0.000287735	0.0000664	8.94E-06	0	3.51E-05	0.00004838	2.53E-05	0	4.79E-05	0	0.000103811	0	0.000590527	0.00041576	8.63E-06	0	7.49E-05	0	0.000331509	0	3.38E-05	0	8.55E-06	0	1.78E-05	0	2.58E-05	0	5.19E-05	0	8.57E-06	0.00001943	5.13E-05	0	0.000110031	0	4.31E-05	0	2.57E-05	0	2.49E-05	0	1.26E-05	0	0	0	7.54E-05	0	2.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60E-05	0
Achromobacter	0	0	1.34E-05	0	0	0	4.59E-06	0	0	0	6.02E-06	0.00000104	8.90E-06	0	2.17E-05	0	3.69E-06	0	4.43E-06	0	0	0	8.77E-06	0	0	0	4.35E-06	0	0	0	1.76E-05	0	0	0	1.66E-05	0	0	0	8.45E-06	0	1.71E-05	0	0	0	1.72E-05	0	0	0	8.57E-06	0	0	0	8.46E-06	0	0	0	0	0	1.25E-05	0	0	0.0000134	5.09E-05	0	0	0.00000696	0	0	1.34E-05	0	0.000112932	0.00004287	0	0	2.51E-05	0	0	0	0	0	3.45E-05	0.00007744
Acidaminococcus	0.001877424	0.00124581	0.000255438	0.00081617	0.000136688	0.00032022	9.19E-05	0.00076266	0.000277742	0.00030998	0.000178289	0.00020206	0.000186979	0.00025516	0.000537048	0.00087582	0.0002789	0.00057304	0.00096502	0.00087103	0.008573331	0.01600193	0.000771361	0.00098243	0.005920208	0.01038153	0.000330835	0.00020275	0.003289999	0.00510855	0.000334926	0.00050394	0.000388551	0.00061524	0.00056562	0.00040484	0.000192738	0.00034521	0.002119915	0.00249773	0.000196652	0.00018779	0.000177674	0.0004475	0.001032551	0.00164094	0.000138398	0.00012997	0.000402704	0.00039793	0.002224561	0.00246835	0.000736358	0.00033594	0.000594648	0.00138355	0.043980145	0.08141803	0.015789868	0.02333849	0.004348373	0.00148306	0.00030569	0.00054738	0.000364441	0.00047812	0.000278101	0.00044226	0.000321871	0.00032491	0.000715236	0.00055684	0.000874707	0.00063914	0.000163097	0.00021772	2.50E-05	0	0	0.00004993	0.004459001	0.00516931
Acidovorax	6.21E-05	0	0	0	1.21E-05	0.00000263	4.59E-06	0	2.10E-05	0	1.20E-05	0.00000079	4.45E-06	0	1.73E-05	0	7.39E-06	0	3.98E-05	0	3.13E-05	0	2.19E-05	0	8.45E-06	0	2.61E-05	0	2.40E-05	0	0	0	8.63E-06	0	8.32E-06	0	3.08E-05	0	2.53E-05	0	0	0	2.67E-05	0	1.72E-05	0	3.46E-05	0	0	0	2.57E-05	0	5.08E-05	0	2.59E-05	0	6.41E-05	0	0	0	2.51E-05	0	8.92E-05	0	0.000213638	0.00000533	0	0	1.34E-05	0	0	0	0	0	0.000125459	0	1.25E-05	0	0	0	9.19E-05	0.00003562
Acinetobacter	4.65E-05	0	0	0	8.04E-06	0	0	0.00000066	0.00011783	0.00007814	5.78E-05	0.00001299	5.34E-05	0.00002487	1.73E-05	0	6.65E-05	0.00006085	5.31E-05	0.00001584	4.47E-06	0.00001156	3.94E-05	0.00000837	7.60E-05	0.00000858	2.18E-05	0.00000853	2.40E-05	0	1.76E-05	0	8.63E-06	0.00006721	8.32E-06	0.00001429	7.71E-06	0.00000952	4.22E-05	0.00001325	7.70E-05	0	1.78E-05	0	8.60E-06	0.00002469	8.65E-06	0.00008996	2.57E-05	0.0000646	5.99E-05	0	8.46E-06	0.00011351	1.72E-05	0.00001819	2.57E-05	0	3.74E-05	0.00002378	3.77E-05	0.00002096	1.27E-05	0	8.80E-05	0.00004866	0	0	5.36E-05	0.00002757	1.25E-05	0	2.46E-05	0	0.000276011	0	0	0	0	0	9.19E-05	0.0000896
