	AM-AD-1	AM-AD-2	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-1T	DA-AD-2	DA-AD-3	DA-AD-3T	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9	JP-IN-1	JP-IN-2	JP-IN-3	JP-IN-4
Abiotrophia	0.00060512	0.001008308	0.000454288	0.000372074	0.000319824	0.000372239	0.000333891	0.000316165	0.000280747	0.000557764	0.000169857	0.000219137	0.000135126	0.00029601	0.000407257	0.000255601	0.000310841	0.000573938	0.000524246	0.000439185	0.000547205	0.000568555	0.000249533	0.000242196	0.000385568	0.0002139	0.000423194	0.00022407	0.000294997	0.000523834	0.000213648	0.000165582	0.000703747	0.000176973	0.0008315	0.000263508	0.000936307	6.27E-05	0	0.000226692	0.000425214
Acaryochloris	0	0	0	4.59E-06	8.42E-06	6.02E-06	4.45E-06	8.66E-06	1.48E-05	8.85E-06	4.47E-06	4.38E-06	0	3.05E-05	7.99E-06	0	3.45E-05	3.33E-05	3.85E-05	8.45E-06	0	0	8.60E-06	8.65E-06	1.71E-05	8.56E-06	0	0	1.28E-05	2.49E-05	0	1.27E-05	5.03E-05	0	0	1.25E-05	1.23E-05	0	0	1.26E-05	0
Acetivibrio	0.000465477	0.00075287	0.000245235	0.000179147	0.000294574	0.000232499	0.000427381	0.000324827	0.000264124	0.000517924	0.000102808	0.000170927	0.000130903	0.00040919	0.000327403	0.000334926	0.000336744	0.000382625	0.000300671	0.000185809	0.000401854	0.0004353	0.00031837	0.000224896	0.000265613	7.70E-05	0.000516297	0.000379196	0.000141085	0.000461473	0.000201081	0.00030569	0.00081685	0.000202255	6.71E-05	0.000338796	0.000234077	0.000125459	5.01E-05	0.000138534	9.19E-05
Acetobacter	1.55E-05	0	0	0	0	1.20E-06	0	0	0	0	8.94E-06	4.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-05	0	0	0	2.51E-05	0	0	1.26E-05	0	0	2.46E-05	1.25E-05	0	0	0
Acetohalobium	1.55E-05	4.03E-05	8.04E-06	2.30E-06	1.26E-05	7.23E-06	1.34E-05	1.73E-05	2.22E-05	1.77E-05	4.47E-06	3.07E-05	4.22E-06	8.71E-06	7.99E-06	3.53E-05	2.59E-05	2.50E-05	0	2.53E-05	4.28E-05	1.78E-05	1.72E-05	0	1.71E-05	0	8.46E-06	8.62E-06	1.28E-05	0	2.51E-05	3.82E-05	0	1.26E-05	0	1.25E-05	0	0	0	0	0
Acholeplasma	4.65E-05	1.34E-05	4.02E-05	6.89E-06	5.05E-05	4.82E-05	0.000106845	9.10E-05	0.000140374	0.000287735	8.94E-06	3.51E-05	2.53E-05	4.79E-05	0.000103811	0.000590527	8.63E-06	7.49E-05	0.000331509	3.38E-05	8.55E-06	1.78E-05	2.58E-05	5.19E-05	8.57E-06	5.13E-05	0.000110031	4.31E-05	2.57E-05	2.49E-05	1.26E-05	0	7.54E-05	2.53E-05	0	0	0	0	0	0	4.60E-05
Achromobacter	0	1.34E-05	0	4.59E-06	0	6.02E-06	8.90E-06	2.17E-05	3.69E-06	4.43E-06	0	8.77E-06	0	4.35E-06	0	1.76E-05	0	1.66E-05	0	8.45E-06	1.71E-05	0	1.72E-05	0	8.57E-06	0	8.46E-06	0	0	1.25E-05	0	5.09E-05	0	0	1.34E-05	0.000112932	0	2.51E-05	0	0	3.45E-05
Acidaminococcus	0.001877424	0.000255438	0.000136688	9.19E-05	0.000277742	0.000178289	0.000186979	0.000537048	0.0002789	0.00096502	0.008573331	0.000771361	0.005920208	0.000330835	0.003289999	0.000334926	0.000388551	0.00056562	0.000192738	0.002119915	0.000196652	0.000177674	0.001032551	0.000138398	0.000402704	0.002224561	0.000736358	0.000594648	0.043980145	0.015789868	0.004348373	0.00030569	0.000364441	0.000278101	0.000321871	0.000715236	0.000874707	0.000163097	2.50E-05	0	0.004459001
Acidilobus	0	0	0	0	0	1.20E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidimicrobium	0	0	0	0	0	0	0	0	1.85E-06	0	0	0	0	0	0	0	0	0	7.71E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
