Kingdom	Phylum	Class	Order	Family	Genus	Species	1_11O	2_11P	3_11Q	4_11S	5_11T	6_11U	7_11W	8_11Y	9_11Z	10_12O	11_12P	12_12R	13_12S	14_12T	15_12U	16_12V	17_12W	18_12Y	19_12X	20_12Z	21_9K	22_9L	23_9M	24_9N	25_9O	26_9P	27_9Q	28_9R	29_9S	30_9T	31_9V	32_11O	33_11P	34_11Q	35_11S	36_11T	37_11U	38_11W	39_11Y	40_11Z	41_12O	42_12P	43_12R	44_12S	45_12T	46_12U	47_12V	48_12W	49_12Y	50_12X	51_12Z	52_9K	53_9L	54_9M	55_9N	56_9O	57_9P	58_9Q	59_9R	60_9S	61_9T	62_9V
Unassigned	P_Other	C_Other	O_Other	F_Other	G_Other	S_Other	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	3.0	4.0	5.0	18.0	0.0	1.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	g__Bifidobacterium_s	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__pseudolongum	0.0	0.0	652.0	0.0	0.0	395.0	0.0	151.0	11.0	0.0	0.0	9.0	0.0	6.0	56.0	132.0	9.0	1.0	0.0	0.0	0.0	0.0	29.0	239.0	0.0	0.0	6.0	77.0	0.0	8.0	0.0	2.0	4.0	82.0	1.0	24.0	1107.0	366.0	154.0	332.0	5.0	0.0	1.0	3.0	0.0	287.0	1.0	1.0	0.0	5.0	4.0	0.0	0.0	62.0	919.0	263.0	0.0	1227.0	0.0	0.0	608.0	801.0
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	f__Coriobacteriaceae_g_	f__Coriobacteriaceae_g_s	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	68.0	0.0	0.0	35.0	134.0	24.0	104.0	0.0	0.0	9.0	76.0	0.0	0.0	0.0	64.0	120.0	228.0	289.0	0.0	85.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	143.0	65.0
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Adlercreutzia	g__Adlercreutzia_s	9.0	8.0	37.0	14.0	10.0	7.0	29.0	4.0	0.0	23.0	19.0	12.0	18.0	14.0	3.0	35.0	6.0	4.0	14.0	1.0	23.0	32.0	4.0	8.0	12.0	12.0	36.0	6.0	5.0	18.0	9.0	7.0	1.0	15.0	1.0	85.0	24.0	29.0	13.0	20.0	17.0	138.0	19.0	36.0	26.0	19.0	13.0	10.0	42.0	79.0	55.0	27.0	63.0	13.0	71.0	26.0	13.0	99.0	7.0	6.0	47.0	30.0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Barnesiella	g__Barnesiella_s	437.0	925.0	334.0	876.0	495.0	225.0	492.0	1158.0	397.0	127.0	517.0	263.0	66.0	33.0	786.0	794.0	474.0	185.0	799.0	375.0	342.0	561.0	268.0	164.0	364.0	10.0	1207.0	558.0	437.0	627.0	441.0	177.0	225.0	584.0	270.0	728.0	10.0	341.0	906.0	361.0	140.0	3.0	52.0	11.0	138.0	15.0	87.0	8.0	6.0	9.0	5.0	31.0	210.0	68.0	276.0	426.0	630.0	177.0	60.0	9.0	30.0	230.0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	g__Parabacteroides_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	17.0	0.0	0.0	0.0	9.0	29.0	14.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7_g_	f__S24-7_g_s	0.0	0.0	0.0	9.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	2.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	6.0	13.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	13.0	2.0	0.0	0.0	0.0	1.0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	f__Planococcaceae_g_	f__Planococcaceae_g_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	f__Enterococcaceae_g_	f__Enterococcaceae_g_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
