Sample Id	Group	Class
2508501011	cyano	Cyanophyceae
643348534	cyano	Cyanophyceae
2509276056	cyano	Cyanophyceae
646311970	cyano	Cyanophyceae
2503283023	cyano	Cyanophyceae
2505679029	cyano	Cyanophyceae
2503538021	cyano	Cyanophyceae
644736348	cyano	Cyanophyceae
2503707009	cyano	Cyanophyceae
643348535	cyano	Cyanophyceae
643348533	cyano	Cyanophyceae
650377906	cyano	Cyanophyceae
641522622	cyano	Cyanophyceae
2507262054	cyano	Cyanophyceae
648028021	cyano	Cyanophyceae
2503754017	cyano	Cyanophyceae
2503754019	cyano	Cyanophyceae
2504643013	cyano	Cyanophyceae
C00002262	darcy	darcy
C00002270	darcy	darcy
C00002269	darcy	darcy
C00002263	darcy	darcy
C00002265	darcy	darcy
C00002268	darcy	darcy
C00002271	darcy	darcy
C00002266	darcy	darcy
C00002264	darcy	darcy
C00002267	darcy	darcy
C00002261	darcy	darcy
637000121	cyano	Gloeobacteria
646564504	cyano	Nostocophycideae
2506485002	cyano	Nostocophycideae
637000199	cyano	Nostocophycideae
2510065008	cyano	Nostocophycideae
2503707008	cyano	Nostocophycideae
2503982047	cyano	Nostocophycideae
642555144	cyano	Nostocophycideae
2509601032	cyano	Nostocophycideae
2503982036	cyano	Nostocophycideae
2505679032	cyano	Nostocophycideae
648028001	cyano	Nostocophycideae
2506520014	cyano	Oscillatoriophycideae
641522640	cyano	Oscillatoriophycideae
637000329	cyano	Oscillatoriophycideae
2503982035	cyano	Oscillatoriophycideae
2509276031	cyano	Oscillatoriophycideae
2506520011	cyano	Oscillatoriophycideae
2509276028	cyano	Oscillatoriophycideae
2503538020	cyano	Oscillatoriophycideae
637000315	cyano	Oscillatoriophycideae
2513237195	cyano	Oscillatoriophycideae
2503538028	cyano	Oscillatoriophycideae
2513237196	cyano	Oscillatoriophycideae
2524023216	cyano	Oscillatoriophycideae
651053076	cyano	Oscillatoriophycideae
2509276061	cyano	Pleurocapsales
637000308	cyano	Synechococcophycideae
637000307	cyano	Synechococcophycideae
2504643012	cyano	Synechococcophycideae
2509276030	cyano	Synechococcophycideae
637000309	cyano	Synechococcophycideae
637000213	cyano	Synechococcophycideae
637000313	cyano	Synechococcophycideae
637000211	cyano	Synechococcophycideae
637000320	cyano	Synechococcophycideae
640069322	cyano	Synechococcophycideae
640069323	cyano	Synechococcophycideae
637000214	cyano	Synechococcophycideae
641228474	cyano	Synechococcophycideae
637000311	cyano	Synechococcophycideae
640427149	cyano	Synechococcophycideae
2507262052	cyano	Synechococcophycideae
641228501	cyano	Synechococcophycideae
640069325	cyano	Synechococcophycideae
637000312	cyano	Synechococcophycideae
2508501041	cyano	Synechococcophycideae
637000314	cyano	Synechococcophycideae
640427148	cyano	Synechococcophycideae
637000210	cyano	Synechococcophycideae
637000212	cyano	Synechococcophycideae
641522654	cyano	Synechococcophycideae
640069324	cyano	Synechococcophycideae
637000310	cyano	Synechococcophycideae
2506520048	cyano	Synechococcophycideae
640753041	cyano	Synechococcophycideae
2503754048	cyano	Synechococcophycideae
640069321	cyano	Synechococcophycideae
